x,y,v
225,80,-121
225,85,-117
225,90,-113
225,95,-110
225,100,-106
225,105,-104
225,110,-100
225,115,-98
225,120,-96
225,125,-94
225,130,-92
225,135,-91
225,140,-89
225,145,-88
230,0,-155
230,5,-158
230,10,-159
230,15,-158
230,20,-159
230,25,-159
230,30,-156
230,35,-154
230,40,-152
230,45,-149
230,50,-144
230,55,-141
230,60,-137
230,65,-134
230,70,-129
230,75,-124
230,80,-120
230,85,-116
230,90,-113
230,95,-110
230,100,-107
230,105,-104
230,110,-101
230,115,-99
230,120,-97
230,125,-94
230,130,-93
230,135,-91
230,140,-90
230,145,-88
235,0,-156
235,5,-157
235,10,-159
235,15,-160
235,20,-160
235,25,-159
235,30,-158
235,35,-155
235,40,-152
235,45,-149
235,50,-146
235,55,-142
235,60,-137
235,65,-132
235,70,-128
235,75,-125
235,80,-121
235,85,-116
235,90,-113
235,95,-109
235,100,-107
235,105,-104
235,110,-101
235,115,-99
235,120,-96
235,125,-95
235,130,-92
235,135,-91
235,140,-90
235,145,-89
240,0,-156
240,5,-159
240,10,-160
240,15,-159
240,20,-160
240,25,-160
240,30,-158
240,35,-155
240,40,-153
240,45,-149
240,50,-146
240,55,-142
240,60,-138
240,65,-133
240,70,-130
240,75,-125
240,80,-121
240,85,-117
240,90,-114
240,95,-110
240,100,-107
240,105,-104
240,110,-100
240,115,-98
240,120,-97
240,125,-95
240,130,-93
240,135,-92
240,140,-90
240,145,-89
245,0,-155
245,5,-157
245,10,-158
245,15,-159
245,20,-158
245,25,-158
245,30,-156
245,35,-154
245,40,-152
245,45,-149
245,50,-145
245,55,-140
245,60,-137
245,65,-133
245,70,-129
245,75,-125
245,80,-120
245,85,-118
245,90,-112
245,95,-109
245,100,-107
245,105,-104
245,110,-101
245,115,-98
245,120,-97
245,125,-94
245,130,-93
245,135,-92
245,140,-89
245,145,-88
